case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
435,bone_mouse_FDISCO_20250503_132251,116.9,1.8688,79.6388,60.1247,40.54,29.5622,22.5538,79.3874,3,4,1,0.7617
436,tooth_rat_FDISCO_20250503_175001,210,1.6101,87.2033,75.151,48.4141,19.1712,35.3209,87.2275,3,1,1,0.8916
437,tooth_mouse_FDISCO_20250413_130746,159.1,2.1028,64.065,78.8626,44.6558,26.8518,21.2266,64.3043,3,1,1,0.7494
438,bone_mouse_FDISCO_20250313_141423,235.3,1.9336,80.9932,64.5876,50.9815,27.1711,47.2511,80.8168,3,1,1,0.5935
439,tooth_mouse_FDISCO_20250503_172111,226.2,1.7107,64.6475,96.0932,41.9385,20.4214,50.1274,65.1115,3,1,1,0.6478
440,bone_mouse_FDISCO_20250313_113548,148.1,1.9775,64.6376,69.3159,47.992,36.3325,42.3246,64.8109,3,4,2,0.825
441,bone_rat_FDISCO_20250313_144205,60,1.4593,72.0445,52.4117,65.7558,20.8888,27.0118,71.8432,3,1,1,0.7844
442,bone_mouse_FDISCO_20250313_145050,129.7,1.731,74.5584,77.1298,58.2024,18.7922,31.3873,74.6262,3,5,1,0.9345
443,tooth_mouse_FDISCO_20250220_174419,61.7,1.8392,52.9524,43.0043,59.9609,21.9295,40.3219,53.1485,3,4,1,0.8093
444,tooth_rat_FDISCO_20250601_104848,50,1.3533,69.955,66.9948,59.5191,17.7739,39.6539,69.9546,3,1,2,0.845
445,bone_rat_FDISCO_20250413_164431,64.9,1.644,62.2137,104.2018,39.4324,31.474,47.0562,62.146,3,4,2,0.751
446,tooth_rat_FDISCO_20250503_101233,173.5,1.8176,54.8625,53.9886,60.6771,14.4012,59.7458,54.5906,3,4,2,0.8645
447,bone_rat_FDISCO_20250413_180035,144,1.2879,70.5502,55.9197,33.9844,18.722,21.6755,70.7572,3,4,1,0.9655
448,tooth_mouse_FDISCO_20250503_171529,270.1,1.7651,94.6333,86.0069,75.4412,21.8806,31.371,94.9918,3,5,1,0.7827
449,tooth_rat_FDISCO_20250413_175509,50,2.1023,43.3009,62.7227,63.8089,19.5422,38.5754,43.0838,3,4,2,0.8972
450,bone_mouse_FDISCO_20250503_102047,106.5,1.4295,71.148,64.9435,47.3299,41.5735,27.7343,71.4089,3,4,2,0.8029
451,bone_mouse_FDISCO_20250601_170046,62,1.9513,85.7202,33.5349,54.9799,25.0725,22.6445,85.712,3,1,2,0.9213
452,tooth_mouse_FDISCO_20250413_175534,50,2.1906,45.0475,82.6592,66.6918,23.8147,49.9106,44.9738,3,1,2,0.8297
453,bone_mouse_FDISCO_20250220_155003,229.9,1.8448,109.4643,44.2493,57.7616,15.4001,47.5475,109.9141,3,4,1,0.8703
454,tooth_rat_FDISCO_20250601_121429,85.6,1.5691,75.1614,48.7931,55.2348,26.4503,30.1123,75.8301,3,4,2,0.8871
455,tooth_mouse_FDISCO_20250503_141224,139.7,1.7185,79.4142,39.6868,55.1661,20.2588,27.4018,79.5451,3,4,1,0.7127
456,tooth_rat_FDISCO_20250413_133851,87.8,1.7093,86.8798,30.4442,42.373,18.0304,62.5117,86.6901,3,4,1,0.7563
457,bone_mouse_FDISCO_20250601_154608,76.3,1.3849,60.8936,46.7689,46.6568,10.5407,21.0272,60.4187,3,1,1,0.7683
458,tooth_rat_FDISCO_20250503_144755,92.1,1.5455,81.9373,70.4165,76.4146,31.1295,29.3133,81.6105,3,4,1,0.8093
459,bone_mouse_FDISCO_20250413_180729,112.8,1.7019,70.2425,55.4217,50.6412,12.9364,20.5448,70.6505,3,4,1,0.7774
460,bone_rat_FDISCO_20250503_144126,129.3,1.2312,57.7542,69.3472,56.0697,25.2056,38.2397,58.0311,3,1,1,0.7417
461,bone_mouse_FDISCO_20250503_115331,158.5,1.7017,76.4571,63.8474,59.3027,36.1265,28.6328,76.6941,3,5,2,0.9273
