case_id,sample_description,volume,density,r_value,g_value,b_value,h_value,s_value,v_value,decal_level,clearing_method_id,toc_level,transparency
121,intestine_mouse_FDISCO_20250430_164041,143.2,1.00489,85.7828,74.3391,56.129,18.5456,82.901,85.8046,0,1,1,0.747003
122,intestine_mouse_FDISCO_20250430_164251,373.5,1.02115,77.3712,65.5004,48.1526,17.9322,92.533,77.3846,0,1,2,0.760104
123,intestine_mouse_FDISCO_20250430_164439,440.5,1.02974,65.2162,56.0427,44.104,17.1566,79.6141,65.233,0,1,2,0.755101
124,liver_mouse_FDISCO_20250430_204332,375.6,1.0647,58.2575,48.7016,38.8154,15.2583,82.6177,58.2641,0,1,2,0.508617
125,lung_mouse_FDISCO_20250430_165112,272.3,0.659,47.7147,32.6174,25.0958,9.44932,122.537,47.7239,0,1,2,0.787188
126,lung_mouse_FDISCO_20250430_165314,229.7,1.0222,45.906,31.2323,24.0077,9.64964,125.022,45.9157,0,1,2,0.700246
127,semi_mouse_FDISCO_20250430_205559,184.5,1.04499,68.1948,59.3765,52.1749,13.8459,57.9898,68.2072,0,1,2,0.716011
128,stomache_mouse_FDISCO_20250430_201433,294.8,1,64.6452,55.8271,49.5504,12.0506,59.0926,64.6473,0,1,2,0.743888
129,stomache_mouse_FDISCO_20250430_202258,294.8,1.03833,78.4603,70.1562,60.8046,15.8973,57.2568,78.4737,0,1,2,0.79645
130,stomache_mouse_FDISCO_20250430_202640,216.7,1.07337,74.4463,65.2875,56.8977,14.392,59.8402,74.4572,0,1,2,0.705614
131,stomach_mouse_FDISCO_20250430_170710,198.9,1.07139,82.2774,73.2195,62.6764,16.001,61.1901,82.2855,0,1,2,0.708596
132,stomach_mouse_FDISCO_20250430_203133,196,1.05663,82.2606,73.4277,63.8832,15.6771,57.6416,82.2708,0,1,2,0.743888
133,stomach_mouse_FDISCO_20250430_203747,229.4,1.06975,81.7838,72.1765,61.5816,15.6099,62.5668,81.7909,0,1,2,0.827965
134,tongue_mouse_FDISCO_20250503_110635,69.3,1.06061,61.3766,53.4103,47.8808,19.348,52.7381,61.3939,0,1,1,0.835032
135,tongue_mouse_FDISCO_20250503_110916,94.2,1.05096,65.8993,56.607,49.7948,13.0769,57.7343,65.9189,0,1,1,0.739271
136,tooth_mouse_FDISCO_20250503_104839,9.9,2.01313,83.9729,77.3735,69.6587,17.3165,41.1916,84.0019,1,1,2,0.928604
137,tooth_mouse_FDISCO_20250503_105038,13.6,1.91912,79.6506,73.367,65.1696,17.7102,43.0212,79.6778,1,1,1,0.843316
138,tooth_mouse_FDISCO_20250503_105406,20.2,2.12871,88.2099,80.8013,71.7576,17.0097,44.5633,88.2379,1,1,1,0.924035
139,tooth_mouse_FDISCO_20250503_105632,18.8,1.9202,79.4969,72.294,63.5373,17.5788,48.1654,79.5337,1,1,1,0.903364
140,tooth_mouse_FDISCO_20250503_110203,4.4,1.97727,95.4136,89.065,80.0848,16.7716,38.6037,95.4412,1,1,1,0.946338
141,tooth_mouse_FDISCO_20250503_110434,18.5,1.9622,77.5328,70.9397,63.3436,17.6474,44.9144,77.568,1,1,1,0.883806
142,lung_mouse_FDISCO_20250430_204655,279.4,1.02219,49.006,34.9597,27.4418,10.6048,122.411,49.0164,0,1,2,0.7609
143,heart_mouse_FDISCO_20250518_154252,90.9,1.0011,49.7916,40.3637,33.4464,12.6253,84.039,49.805,0,5,2,0.843075
144,heart_mouse_FDISCO_20250518_160905,70.2,1.00997,47.3549,37.1877,30.4153,12.089,90.109,47.3635,0,5,2,0.76734
145,heart_mouse_FDISCO_20250518_163008,71.2,1.00281,50.2308,40.1832,32.6654,12.6448,86.8875,50.2347,0,5,2,0.61241
146,intestine_mouse_FDISCO_20250518_161830,153.1,1.19138,83.7243,74.4306,60.5262,17.2304,65.3381,83.7306,0,5,2,0.660595
147,intestine_mouse_FDISCO_20250518_165310,153.5,1.17459,100.065,89.3727,70.3605,18.8583,75.7104,100.072,0,5,2,0.85803
148,kidney_mouse_FDISCO_20250518_151837,99.9,1.11512,52.0004,39.4873,31.4615,11.3719,97.018,52.0029,0,5,2,0.682803
149,kidney_mouse_FDISCO_20250518_154927,119.3,1.00503,46.958,36.1972,29.1516,11.8358,96.792,46.9693,0,5,2,0.844738
150,kidney_mouse_FDISCO_20250518_160249,129.5,1.04402,39.4306,30.6665,26.6916,9.30614,87.1469,39.4454,0,5,2,0.866162
151,kidney_mouse_FDISCO_20250518_163315,101.8,1.0668,57.6485,46.282,36.977,13.4091,92.2102,57.6558,0,5,2,0.649663
152,liver_mouse_FDISCO_20250518_155513,239.2,1.00084,47.5616,35.5087,28.3957,11.1109,99.1338,47.563,0,5,2,0.678155
153,lung_mouse_FDISCO_20250518_160530,216.8,0.688,61.3786,44.2354,35.3826,9.71084,114.622,61.3794,0,5,2,0.769545
154,spleen_mouse_FDISCO_20250518_153223,49.6,1.1754,35.8885,27.6756,25.4623,12.7049,76.7816,35.895,0,5,2,0.672668
155,spleen_mouse_FDISCO_20250518_155226,59.2,1,37.1453,25.7498,22.2621,9.31147,107.927,37.1567,0,5,2,0.716415
156,spleen_mouse_FDISCO_20250518_161409,38.8,1.25515,31.0574,21.3164,18.2552,14.2781,99.5382,31.0648,0,5,2,0.724586
